am:'algen_enac_hum # gnn|A;አልገነ፟ናች፟ሁም
## ;prf,2pf,0o,neg,rel
ti:zeygenenkn # gnn|A;ዘይገነንክን
te:le'igenenkn # gnn|A;ለኢገነንክን
ks:yalgenenkma # gnn|A;ያልገነንክማ
am:yalgen_enac_hu # gnn|A;ያልገነ፟ናች፟ሁ
## ;prf,2pf,0o,aff,main
ti:genenkn # gnn|A;ገነንክን
te:genenkn # gnn|A;ገነንክን
ks:gen_enkman # gnn|A;ገነ፟ንክማን
am:gen_enac_hu # gnn|A;ገነ፟ናች፟ሁ
## ;prf,2pf,0o,aff,rel
ti:zgenenkn # gnn|A;ዝገነንክን
te:legenenkn # gnn|A;ለገነንክን
ks:yegen_enkma # gnn|A;የገነ፟ንክማ
am:yegen_enac_hu # gnn|A;የገነ፟ናች፟ሁ
## ;imf,1s,0o,neg,main
ti:'aygen_nn # gnn|A;ኣይገን፟ንን
te:'i'gen_n # gnn|A;ኢእገን፟ን
ks:tegen_ # gnn|A;ተገን፟
am:'algen_m # gnn|A;አልገን፟ም
## ;imf,1s,0o,neg,rel
ti:zeygen_n # gnn|A;ዘይገን፟ን
te:le'i'gen_n # gnn|A;ለኢእገን፟ን
ks:'an_gen_ # gnn|A;አን፟ገን፟
am:yem_algen_ # gnn|A;የማ፟ልገን፟
## ;imf,1s,0o,aff,main
ti:'gen_n # gnn|A;እገን፟ን
te:'gen_n # gnn|A;እገን፟ን
ks:'egen_u # gnn|A;ኧገኑ፟
am:'gen_al_ehu # gnn|A;እገና፟ለ፟ሁ
## ;imf,1s,0o,aff,rel
ti:zgen_n # gnn|A;ዝገን፟ን
te:le'gen_n # gnn|A;ለእገን፟ን
ks:'egen_ # gnn|A;ኧገን፟
am:yem_gen_ # gnn|A;የም፟ገን፟
## ;imf,3sm,0o,neg,main
ti:'ay_gen_nn # gnn|A;ኣይ፟ገን፟ንን
te:'ilgen_n # gnn|A;ኢልገን፟ን
ks:tigen_ # gnn|A;ቲገን፟
am:'aygen_m # gnn|A;አይገን፟ም
## ;imf,3sm,0o,neg,rel
ti:zey_gen_n # gnn|A;ዘይ፟ገን፟ን
te:le'ilgen_n # gnn|A;ለኢልገን፟ን
ks:'aygen_ # gnn|A;አይገን፟
am:yem_aygen_ # gnn|A;የማ፟ይገን፟
## ;imf,3sm,0o,aff,main
ti:ygen_n # gnn|A;ይገን፟ን
te:lgen_n # gnn|A;ልገን፟ን
ks:ygen_u # gnn|A;ይገኑ፟
am:ygen_al # gnn|A;ይገና፟ል
## ;imf,3sm,0o,aff,rel
ti:zigen_n # gnn|A;ዚገን፟ን
te:lelgen_n # gnn|A;ለልገን፟ን
ks:ygen_ # gnn|A;ይገን፟
am:yem_igen_ # gnn|A;የሚ፟ገን፟
## ;imf,2pf,0o,neg,main
ti:'aytgen_an # gnn|A;ኣይትገና፟ን
te:'itgen_e # gnn|A;ኢትገነ፟
ks:tt_gen_ma # gnn|A;ትት፟ገን፟ማ
am:'at_gen_um # gnn|A;አት፟ገኑ፟ም
## ;imf,2pf,0o,neg,rel
ti:zeytgen_a # gnn|A;ዘይትገና፟
te:le'itgen_e # gnn|A;ለኢትገነ፟
ks:'at_gen_ma # gnn|A;አት፟ገን፟ማ
am:yem_at_gen_u # gnn|A;የማ፟ት፟ገኑ፟
## ;imf,2pf,0o,aff,main
ti:tgen_a # gnn|A;ትገና፟
te:tgen_e # gnn|A;ትገነ፟
ks:tgen_man # gnn|A;ትገን፟ማን
am:tgen_al_ac_hu # gnn|A;ትገና፟ላ፟ች፟ሁ
## ;imf,2pf,0o,aff,rel
ti:zt_gen_a # gnn|A;ዝት፟ገና፟
te:letgen_e # gnn|A;ለትገነ፟
ks:tgen_ma # gnn|A;ትገን፟ማ
am:yem_t_gen_u # gnn|A;የም፟ት፟ገኑ፟
## ;prf,1s,0o,neg,main
ti:'aykeberkun # kbr|A;ኣይከበርኩን
ks:'alkeberkW # kbr|A;አልከበርኵ
am:'alkeb_erkum # kbr|A;አልከበ፟ርኩም
te:'ikeberko # kbr|A;ኢከበርኮ
## ;prf,1s,0o,neg,rel
ti:zeykeberku # kbr|A;ዘይከበርኩ
ks:yalkeberkW # kbr|A;ያልከበርኵ
am:yalkeb_erku # kbr|A;ያልከበ፟ርኩ
te:le'ikeberko # kbr|A;ለኢከበርኮ
## ;prf,1s,0o,aff,main
ti:keberku # kbr|A;ከበርኩ
ks:keb_erki # kbr|A;ከበ፟ርኪ
am:keb_erku # kbr|A;ከበ፟ርኩ
te:keberko # kbr|A;ከበርኮ
## ;prf,1s,0o,aff,rel
ti:zKeberku # kbr|A;ዝኸበርኩ
ks:yekeb_erkW # kbr|A;የከበ፟ርኵ
am:yekeb_erku # kbr|A;የከበ፟ርኩ
te:lekeberko # kbr|A;ለከበርኮ
## ;prf,3sm,0o,neg,main
ti:'aykeberen # kbr|A;ኣይከበረን
ks:'alkebere # kbr|A;አልከበረ
am:'alkeb_erem # kbr|A;አልከበ፟ረም
te:'ikebre # kbr|A;ኢከብረ
## ;prf,3sm,0o,neg,rel
ti:zeykebere # kbr|A;ዘይከበረ
ks:yalkebere # kbr|A;ያልከበረ
am:yalkeb_ere # kbr|A;ያልከበ፟ረ
te:le'ikebre # kbr|A;ለኢከብረ
## ;prf,3sm,0o,aff,main
ti:kebere # kbr|A;ከበረ
ks:keb_ero # kbr|A;ከበ፟ሮ
am:keb_ere # kbr|A;ከበ፟ረ
te:kebre # kbr|A;ከብረ
## ;prf,3sm,0o,aff,rel
ti:zKebere # kbr|A;ዝኸበረ
ks:yekeb_ere # kbr|A;የከበ፟ረ
am:yekeb_ere # kbr|A;የከበ፟ረ
te:lekebre # kbr|A;ለከብረ
## ;prf,2pf,0o,neg,main
ti:'aykeberknn # kbr|A;ኣይከበርክንን
ks:'alkeberkma # kbr|A;አልከበርክማ
am:'alkeb_erac_hum # kbr|A;አልከበ፟ራች፟ሁም
te:'ikeberkn # kbr|A;ኢከበርክን
## ;prf,2pf,0o,neg,rel
ti:zeykeberkn # kbr|A;ዘይከበርክን
ks:yalkeberkma # kbr|A;ያልከበርክማ
am:yalkeb_erac_hu # kbr|A;ያልከበ፟ራች፟ሁ
te:le'ikeberkn # kbr|A;ለኢከበርክን
## ;prf,2pf,0o,aff,main
ti:keberkn # kbr|A;ከበርክን
ks:keb_erkman # kbr|A;ከበ፟ርክማን
am:keb_erac_hu # kbr|A;ከበ፟ራች፟ሁ
te:keberkn # kbr|A;ከበርክን
## ;prf,2pf,0o,aff,rel
ti:zKeberkn # kbr|A;ዝኸበርክን
ks:yekeb_erkma # kbr|A;የከበ፟ርክማ
am:yekeb_erac_hu # kbr|A;የከበ፟ራች፟ሁ
te:lekeberkn # kbr|A;ለከበርክን
## ;imf,1s,0o,neg,main
ti:'aykeb_rn # kbr|A;ኣይከብ፟ርን
ks:tekebr # kbr|A;ተከብር
am:'alkebrm # kbr|A;አልከብርም
te:'i'keb_r # kbr|A;ኢእከብ፟ር
## ;imf,1s,0o,neg,rel
ti:zeykeb_r # kbr|A;ዘይከብ፟ር
ks:'an_kebr # kbr|A;አን፟ከብር
am:yem_alkebr # kbr|A;የማ፟ልከብር
te:le'i'keb_r # kbr|A;ለኢእከብ፟ር
## ;imf,1s,0o,aff,main
ti:'Keb_r # kbr|A;እኸብ፟ር
