ትቃለ፟;qly:[cls=B,as='rc',vc=[-cs,+ps]];;be_v roasted;;ተቐልወ;qlw:[as=smp,vc=ps]
ትቃለ፟;qly:[cls=B,as='rc',vc=[-cs,+ps]];;roast_v[ps];;ተቐልወ;qlw:[as=smp,vc=ps]
ትዳለ፟;dly:[cls=B,as='rc',vc=[-cs,+ps]];;be_v ready;;ተዳለወ;dlw:[as=rc,vc=ps]
ትገሰ፟;gsy:[cls=B,as=None,vc=[-cs,+ps]];;sit_v down;;ተቐመጠ;qm_T:[as=smp,vc=ps]
ነድቀ;ndq:[cls=A,as=None,vc=[-cs,-ps]];;build_v;;ነደቐ;ndq:[as=smp,vc=smp]
አበ፟ሰ;'bs:[cls=B,as=None,vc=[-cs,-ps]];;sin_v;;ኣበሰ;'b_s:[as=smp,vc=smp]
አተ;'ty:[cls=A,as=None,vc=[-cs,-ps]];;enter_v;;ኣተወ;'tw:[as=smp,vc=smp]
አትዐረገ;`rg:[cls=A,as=None,vc=[+cs,+ps]];;make_v ascend;;ኣዕረገ;`rg:[as=smp,vc=tr]
አግለ;'gl:[cls=A,as=None,vc=[-cs,-ps]];;go_v bad;;ኣጐለ;'gWl:[as=smp,vc=smp]
አግለ;'gl:[cls=A,as=None,vc=[-cs,-ps]];;spoil_v;;ኣጐለ;'gWl:[as=smp,vc=smp]
ከለ፟;kll:[cls=A,as=None,vc=[-cs,-ps]];;terminate_v;;ወደአ;wd_':[as=smp,vc=smp]
ከለ፟;kll:[cls=A,as=None,vc=[-cs,-ps]];;terminate_v;;ጨረሰ;Cr_s:[as=smp,vc=smp]
ከለ፟;kll:[cls=A,as=None,vc=[-cs,-ps]];;terminate_v;;ፈጸመ;fS_m:[as=smp,vc=smp]
ከልአ;kl':[cls=A,as=None,vc=[-cs,-ps]];;refuse_v;;ኣበየ;'by:[as=smp,vc=smp]
ከልጠ;klT:[cls=A,as=None,vc=[-cs,-ps]];;make_v a mistake;;ተጋገየ;ggy:[as=rc,vc=ps]
ከልጠ;klT:[cls=A,as=None,vc=[-cs,-ps]];;make_v a mistake;;ገገየ;ggy:[as=smp,vc=smp]
ከበ፟ረ;kbr:[cls=B,as=None,vc=[-cs,-ps]];;give_v news;;ሓበረ;Hb_r:[as=smp,vc=smp]
ከብረ;kbr:[cls=A,as=None,vc=[-cs,-ps]];;be_v honored;;ከበረ;kbr:[as=smp,vc=smp]
ከየነ;kyn:[cls=B,as=None,vc=[-cs,-ps]];;deceive_v;;ኣታለለ;tall:[as=smp,vc=tr]
ካተበ;ktb:[cls=C,as=None,vc=[-cs,-ps]];;vaccinate_v;;ከተበ;ktb:[as=smp,vc=smp]
