ቀንዐ;qn`:[as=smp,vc=smp];;stand_v up again;draw_v oneself up
ቀንጠጠ;qnTT:[as=smp,vc=smp];;strip_v
ቀውዐ;qw_`:[as=smp,vc=smp];;harvest_v;gather_v
ቀየረ;qy_r:[as=smp,vc=smp];;change_v;exchange_v;transform_v;convert_v
ቀደመ;qd_m:[as=smp,vc=smp];;pass_v;go_v beyond;exceed_v
ቀደደ;qdd:[as=smp,vc=smp];;tear_v up;rip_v up
ቀድሐ;qdH:[as=smp,vc=smp];;imitate_v;pour_v out
ቀጸለ;qS_l:[as=smp,vc=smp];;continue_v;continue_v with
ቀጽዐ;qS`:[as=smp,vc=smp];;punish_v
ቃነየ;qany:[as=smp,vc=smp];;tune_v
ቆረሰ;qWrs:[as=smp,vc=smp];;breakfast_v
ቆጠበ;qWT_b:[as=smp,vc=smp];;save_v up;economize_v
ቆጥቆጠ;qWTqWT:[as=smp,vc=smp];;reclaim_v
ቆጸረ;qWSr:[as=smp,vc=smp];;count_v;value_v;expect_v;hire_v
ቀልጠፈ;qlTf:[as=smp,vc=smp];;advance_v;hasten_v
ቀቐወ;qqw:[as=smp,vc=smp];;chuckle_v
ቀድሐ;qdH:[as=smp,vc=smp];;copy_v;pour_v out
ቀጽዐ;qS`:[as=smp,vc=smp];;punish_v
በለ;bhl:[as=smp,vc=smp];;say_v
በልዐ;bl`:[as=smp,vc=smp];;eat_v
በረረ;brr:[as=smp,vc=smp];;fly_v
በቖለ;bqWl:[as=smp,vc=smp];;germinate_v;sprout_v;develop_v
በተነ;bt_n:[as=smp,vc=smp];;strew_v;disperse_v
በኸየ;bky:[as=smp,vc=smp];;cry_v
በጽሐ;bSH:[as=smp,vc=smp];;achieve_v;reach_v;overtake_v;arrive_v;inspect_v
ባእበአ;b'b':[as=smp,vc=smp];;stammer_v
በኹዐ;bkW`:[as=smp,vc=smp];;ferment_v
በዀረ;bkWr:[as=smp,vc=smp];;be_v absent;be_v away
ተላመደ;lmd:[as=rc,vc=ps];;practise_v
ተላበወ;lbw:[as=rc,vc=ps];;recommend_v
ተመልሰ;mls:[as=smp,vc=ps];;turn_v;return_v
ተመለሰ;ml_s:[as=smp,vc=ps];;be_v answered;answer_v[ps];be_v resolved;resolve_v[ps]
ተመልከተ;mlkt:[as=smp,vc=ps];;look_v
ተመባጽዓ;mbaS`:[as=smp,vc=ps,ob=[+xpl]];;promise_v
ተመነየ;mn_y:[as=smp,vc=ps];;desire_v
ተረተ;tr_t:[as=smp,vc=smp];;relate_v
ተሰምዖ;sm`:[as=smp,vc=ps,ob=[+xpl]];;feel_v
ተሰወረ;sw_r:[as=smp,vc=ps];;disappear_v
ተሰማምዖ;sm`:[as=it,vc=ps,ob=[+xpl]];;suit_v
ተሳገረ;sgr:[as=rc,vc=ps];;cross_v
ተንስአ;tns':[as=smp,vc=smp];;rise_v
ተገንዘበ;gnzb:[as=smp,vc=ps];;realize_v
ተኣወደ;'w_d:[as=smp,vc=ps];;owe_v
ተኻፈለ;kfl:[as=rc,vc=ps];;involve_v;attend_v
ተኻትዐ;kt`:[as=rc,vc=ps];;argue_v
ተኸላኸለ;klkl:[as=rc,vc=ps];;protect_v oneself
ተወጥሐ;wT_H:[as=smp,vc=ps];;ride_v
ተዛረበ;zrb:[as=rc,vc=ps];;speak_v
ተዛተየ;zt_y:[as=rc,vc=ps];;discuss_v
